id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
7732528,Dupont Adams Morgan Dream,40629622,8/5/15,US,N/A,N/A,f,Adams Morgan,5,5,t,f,Adams Morgan,20009,38.91649,-77.04345,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,$119.00 ,$750.00 ,"$2,495.00 ",$150.00 ,$90.00 ,2,$35.00 ,2,1125,2,2,1125,1125,2,1125,5 months ago,154,53,4,9/8/15,11/20/19,87,9,10,9,10,10,9,f,f,f,strict_14_with_grace_period,f,f,5,0.91
7733108,Perfect Place to Isolate: Dupont Circle Convenient,28011820,2/19/15,"Los Angeles, California, United States",within a day,93%,t,Dupont Circle,9,9,t,f,Dupont Circle,20009,38.91406,-77.04507,t,Apartment,Entire home/apt,6,1,2,4,Real Bed,$159.00 ,"$1,095.00 ","$3,695.00 ",$250.00 ,$110.00 ,6,$0.00 ,7,1125,7,7,1125,1125,7,1125,2 months ago,206,44,0,9/10/15,3/16/19,88,9,10,9,9,10,9,f,f,f,strict_14_with_grace_period,f,f,4,0.76
7733964,English basement with full kitchen.,40644141,8/5/15,"Washington, District of Columbia, United States",N/A,N/A,f,Cleveland Park,3,3,t,t,Cleveland Park,20016,38.94615,-77.07338,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,$89.00 ,$500.00 ,"$1,750.00 ",,$20.00 ,1,$6.00 ,30,180,30,30,1125,1125,30,1125,2 months ago,365,112,21,2/10/16,3/12/20,85,9,9,9,9,10,8,f,f,f,strict_14_with_grace_period,f,f,2,2.11
7742346,"21 - Beautiful BR, Private Bath in NW DC",13275854,3/18/14,"Washington, District of Columbia, United States",within an hour,100%,t,Mount Pleasant,5,5,t,t,Mount Pleasant,20010,38.93092,-77.03997,t,House,Private room,2,1,1,1,Real Bed,$79.00 ,$480.00 ,"$1,850.00 ",$0.00 ,$25.00 ,2,$20.00 ,3,1125,3,3,1125,1125,3,1125,3 months ago,106,121,11,9/29/15,2/11/20,99,10,10,10,10,10,10,f,f,f,flexible,f,f,2,2.1
7744854,Tranquil Columbia Heights Apartment,40709062,8/6/15,"Washington, District of Columbia, United States",within an hour,100%,f,Columbia Heights,1,1,t,t,Columbia Heights,20009,38.92569,-77.03262,t,Condominium,Entire home/apt,4,1,1,2,Real Bed,$85.00 ,$488.00 ,"$1,722.00 ",$0.00 ,$50.00 ,1,$0.00 ,1,1125,1,1,1125,1125,1,1125,2 months ago,0,312,51,9/26/15,3/27/20,96,10,10,10,10,10,10,f,f,f,flexible,f,f,1,5.42
7746325,Sweet Basement Apt in Petworth,2513243,5/31/12,"Washington, District of Columbia, United States",within an hour,100%,t,Petworth,2,2,t,t,Petworth,20011,38.95392,-77.0201,t,Guest suite,Entire home/apt,3,1,1,1,Real Bed,$85.00 ,$550.00 ,,$125.00 ,$40.00 ,2,$35.00 ,1,14,1,2,14,14,1.3,14,4 months ago,89,170,16,8/15/15,2/16/20,99,10,10,10,10,10,10,f,f,f,flexible,f,f,1,2.88
7758808,Sour Diesel Room,40797092,8/7/15,"Washington, District of Columbia, United States",N/A,N/A,t,Petworth,3,3,t,f,Petworth,20011,38.94588,-77.02504,t,House,Private room,2,1,1,2,Real Bed,$75.00 ,,,$0.00 ,$55.00 ,1,$50.00 ,1,1125,1,1,1125,1125,1,1125,15 months ago,364,13,5,5/9/16,10/13/19,95,10,10,10,10,10,10,f,f,f,flexible,f,f,3,0.26
7759093,Room 420,40797092,8/7/15,"Washington, District of Columbia, United States",N/A,N/A,t,Petworth,3,3,t,f,Petworth,20011,38.94437,-77.02455,t,House,Private room,2,1,0,2,Futon,$110.00 ,$450.00 ,"$1,200.00 ",$0.00 ,$50.00 ,1,$70.00 ,1,30,1,1,30,30,1,30,15 months ago,364,17,0,10/12/15,7/30/17,94,10,10,9,9,9,9,f,f,f,flexible,f,f,3,0.3
7772529,Family Home on the Hill,1657626,1/26/12,"Washington, District of Columbia, United States",N/A,N/A,f,Capitol Hill,1,1,t,t,Capitol Hill,20002,38.8936,-76.98822,t,House,Entire home/apt,6,2,3,3,Real Bed,$150.00 ,,,,$80.00 ,1,$0.00 ,5,1125,5,5,1125,1125,5,1125,23 months ago,0,5,0,9/21/15,8/1/16,96,10,10,10,10,10,10,f,f,f,moderate,f,f,1,0.09
7784761,Smart House in heart of DC! ✌,3440635,9/1/12,"Washington, District of Columbia, United States",N/A,N/A,f,,1,1,t,t,Columbia Heights,20009,38.92781,-77.03608,f,Apartment,Entire home/apt,2,1,1,1,Real Bed,$144.00 ,$549.00 ,"$1,999.00 ","$1,000.00 ",$49.00 ,1,$0.00 ,5,15,5,5,15,15,5,15,44 months ago,0,1,0,9/13/15,9/13/15,100,10,10,10,10,10,10,f,f,f,moderate,f,f,1,0.02
7798558,Mount Vernon Triangle: New Highrise,5050881,8/10/15,US,N/A,N/A,f,Mount Vernon Square,1,1,f,f,Mount Vernon Square,20001,38.90186,-77.01686,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,$115.00 ,,,,,1,$0.00 ,1,1125,1,1,1125,1125,1,1125,50 months ago,0,0,0,,,,,,,,,,f,f,f,flexible,f,f,1,
7800582,Dupont Circle Condo. Prime Location (Unit 2),41047431,8/10/15,"Washington, District of Columbia, United States",within an hour,100%,t,Dupont Circle,7,7,t,f,Dupont Circle,20036,38.90907,-77.04529,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,$132.00 ,,"$3,960.00 ",$0.00 ,$125.00 ,2,$25.00 ,3,1125,3,3,1125,1125,3,1125,7 months ago,362,126,20,8/14/16,4/6/20,96,10,9,10,10,10,10,f,f,f,strict_14_with_grace_period,f,f,7,2.69
7801335,Georgetown Condo. Prime Location (Unit 1),41047431,8/10/15,"Washington, District of Columbia, United States",within an hour,100%,t,Dupont Circle,7,7,t,f,Georgetown,20007,38.90542,-77.05747,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,$95.00 ,,"$2,850.00 ",$0.00 ,$120.00 ,2,$25.00 ,3,1125,3,3,1125,1125,3,1125,4 weeks ago,266,198,30,11/2/15,5/19/20,95,9,9,10,10,10,9,f,f,f,strict_14_with_grace_period,f,f,7,3.51
7807561,English Basement in Ledroit Park,1422823,11/19/11,"West Hollywood, California, United States",N/A,N/A,f,LeDroit Park,1,1,t,t,LeDroit Park,20001,38.91492,-77.01762,t,Apartment,Entire home/apt,3,1,0,1,Real Bed,$100.00 ,$600.00 ,"$2,300.00 ",,$50.00 ,2,$25.00 ,2,28,2,2,28,28,2,28,57 months ago,0,4,0,9/26/15,10/13/15,73,9,9,8,9,8,9,f,f,f,strict_14_with_grace_period,f,f,1,0.07
7809701,❤ OF GEORGETOWN | BACKYARD | FULL KITCHEN | W/D,27323824,2/6/15,"Washington, District of Columbia, United States",within an hour,100%,t,Shaw,8,8,t,t,Georgetown,20007,38.90942,-77.05572,t,Townhouse,Entire home/apt,5,1,2,4,Real Bed,$160.00 ,,,$375.00 ,$80.00 ,4,$25.00 ,1,1125,1,4,1125,1125,3.5,1125,3 weeks ago,136,258,54,8/14/15,6/2/20,92,9,9,10,10,10,9,f,f,f,moderate,f,f,8,4.37
7816551,"Luxury Dupont 1BR, Perfect Location",41149223,8/11/15,"Washington, District of Columbia, United States",N/A,N/A,f,Dupont Circle,2,2,t,t,Dupont Circle,20009,38.91211,-77.03794,f,Apartment,Entire home/apt,2,1,1,1,Real Bed,$250.00 ,,,$99.00 ,$75.00 ,1,$0.00 ,2,1125,2,2,1125,1125,2,1125,17 months ago,0,2,0,8/17/15,3/20/17,90,10,10,10,10,10,9,f,t,f,flexible,f,f,2,0.03
7819250,31 - Beautiful BR in NW DC; Private Bath,13275854,3/18/14,"Washington, District of Columbia, United States",within an hour,100%,t,Mount Pleasant,5,5,t,t,Mount Pleasant,20010,38.93065,-77.03806,t,House,Private room,2,1,1,1,Real Bed,$79.00 ,$500.00 ,"$1,900.00 ",$0.00 ,$25.00 ,2,$15.00 ,3,1125,3,3,1125,1125,3,1125,4 months ago,173,138,10,9/15/15,3/17/20,98,10,10,10,10,10,10,f,f,f,flexible,f,f,2,2.38
7820526,Dupont Adams Morgan Fab Fantasy,40629622,8/5/15,US,N/A,N/A,f,Adams Morgan,5,5,t,f,Adams Morgan,20009,38.91742,-77.04178,t,Apartment,Entire home/apt,6,1,2,4,Real Bed,$149.00 ,"$1,095.00 ","$3,895.00 ",$250.00 ,$110.00 ,4,$35.00 ,2,1125,2,2,1125,1125,2,1125,5 months ago,66,59,7,9/18/15,4/12/20,93,9,10,9,9,10,9,f,f,f,strict_14_with_grace_period,f,f,5,1.02
7821473,"Cozy Studio Apt in Mt. Pleasant, DC",41179253,8/11/15,"Washington, District of Columbia, United States",N/A,N/A,f,Mount Pleasant,1,1,t,t,Mount Pleasant,20010,38.93359,-77.03778,t,Apartment,Entire home/apt,2,1,0,2,Real Bed,$70.00 ,$515.00 ,"$1,650.00 ",,,1,$0.00 ,1,1125,1,1,1125,1125,1,1125,53 months ago,0,25,0,8/31/15,2/16/16,88,9,9,10,9,9,9,f,t,f,flexible,f,f,1,0.43
7826994,Great price for DC room,38683977,7/16/15,"Washington, District of Columbia, United States",within a few hours,90%,f,River Terrace,3,3,t,f,River Terrace,20019,38.89363,-76.95925,t,Townhouse,Private room,2,1,1,1,Real Bed,$52.00 ,$340.00 ,"$1,500.00 ",,,1,$0.00 ,2,120,2,2,120,120,2,120,7 weeks ago,353,301,62,8/21/15,3/14/20,93,10,9,10,10,9,9,f,f,f,flexible,f,f,3,5.12
7839172,Amazing house next to Nats stadium,3672670,9/25/12,"Washington, District of Columbia, United States",within an hour,100%,f,Southwest Waterfront,16,16,t,t,Southwest Waterfront,20024,38.87209,-77.01218,t,House,Entire home/apt,9,1.5,4,4,Real Bed,$300.00 ,"$2,300.00 ","$10,000.00 ",$600.00 ,$100.00 ,6,$30.00 ,1,1125,1,1,1125,1125,1,1125,7 weeks ago,258,9,2,4/11/16,5/3/20,71,8,6,9,9,7,7,f,t,f,strict_14_with_grace_period,f,f,16,0.18
