id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
1966985,Furnished Studio in Dupont Circle,9786589,11/3/13,"Washington, District of Columbia, United States",N/A,N/A,f,Dupont Circle,1,1,t,f,20009,38.9118,-77.03821,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,$75.00 ,$500.00 ,,,,1,$0.00 ,3,30,3,3,30,30,3,30,38 months ago,0,13,0,12/21/13,1/23/17,93,10,9,9,10,10,9,f,f,f,moderate,f,f,1,0.18
1978626,Private 1BR/1BA/Full Kitchen DC Apt Near Metro/Bus,3643066,9/22/12,"Washington, District of Columbia, United States",within an hour,100%,t,Takoma,1,1,t,t,20012,38.97947,-77.02299,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,$79.00 ,$425.00 ,"$1,450.00 ",$0.00 ,$50.00 ,2,$15.00 ,3,365,3,3,365,365,3,365,2 weeks ago,99,119,30,8/31/15,1/6/20,99,10,10,10,10,10,10,f,f,f,moderate,f,f,1,2.23
1997443,Colorful Home Across from Metro,10292499,11/27/13,"Washington, District of Columbia, United States",N/A,N/A,f,Park View,1,1,t,f,20010,38.93598,-77.02116,t,Townhouse,Private room,1,1,1,1,Real Bed,$88.00 ,$650.00 ,"$2,300.00 ",,$50.00 ,2,$25.00 ,2,40,2,2,40,40,2,40,36 months ago,0,20,0,3/29/15,12/26/16,87,9,8,10,9,9,9,f,f,f,moderate,f,f,1,0.34
1997483,Instaworthy Couples Nest | 3 blocks to Capitol,10292686,11/27/13,"Washington, District of Columbia, United States",within an hour,97%,t,Capitol Hill,30,30,t,t,20003,38.88946,-77.00131,t,Apartment,Entire home/apt,4,1,2,2,Real Bed,$195.00 ,"$1,250.00 ","$4,850.00 ",$0.00 ,$125.00 ,4,$35.00 ,2,500,14,30,365,500,17.1,474.2,6 days ago,261,18,0,3/30/16,11/28/18,96,10,10,10,10,10,10,f,f,f,strict_14_with_grace_period,f,f,21,0.39
2025201,Entire 2BR+ Rowhouse in Hill East,10405392,12/3/13,"Washington, District of Columbia, United States",N/A,N/A,f,Barney Circle,1,1,t,t,20003,38.88622,-76.97876,t,House,Entire home/apt,6,2,3,4,Real Bed,$200.00 ,"$1,000.00 ",,$100.00 ,,5,$25.00 ,3,1125,3,3,1125,1125,3,1125,44 months ago,0,4,0,10/12/14,7/22/16,100,10,10,10,10,10,10,f,f,f,flexible,f,f,1,0.06
2032214,Bright and Modern U Street Studio,2077502,4/5/12,"Washington, District of Columbia, United States",within an hour,100%,t,Adams Morgan,2,2,t,t,20009,38.9196,-77.04135,t,Apartment,Entire home/apt,2,1,0,0,Real Bed,$109.00 ,$699.00 ,"$2,399.00 ",$200.00 ,$99.00 ,1,$0.00 ,2,365,2,2,1125,1125,2,1125,2 weeks ago,203,119,23,1/26/14,11/20/19,94,10,9,10,10,10,10,f,t,f,flexible,f,f,2,1.63
2033421,Modern Bedroom in Renovated Solar DC Rowhouse,3331633,8/21/12,"Washington, District of Columbia, United States",within an hour,100%,t,Brentwood,10,10,t,t,20018,38.91887,-76.98391,t,Townhouse,Private room,2,1,1,1,Real Bed,$60.00 ,,,$0.00 ,$200.00 ,1,$15.00 ,90,1100,90,90,1100,1100,90,1100,4 months ago,231,78,4,4/12/15,8/11/19,94,10,9,10,10,8,9,f,f,f,strict_14_with_grace_period,f,f,5,1.34
2050565,Newly renovated 3 br home in quiet neighborhood,10509216,12/8/13,"Washington, District of Columbia, United States",N/A,N/A,f,Stronghold,2,2,t,f,20002,38.9242,-77.00866,t,House,Entire home/apt,6,2.5,3,3,Real Bed,$199.00 ,"$1,000.00 ",,$500.00 ,$100.00 ,6,$25.00 ,2,1125,2,2,1125,1125,2,1125,36 months ago,0,1,0,1/22/17,1/22/17,100,10,10,10,10,8,10,f,f,f,flexible,f,f,1,0.03
2053406,Cozy Sleeping Loft in 2BR near U Street,8713526,9/8/13,"Washington, D.C., District of Columbia, United States",within an hour,100%,t,Adams Morgan,2,2,t,t,20009,38.92061,-77.03966,t,Apartment,Shared room,1,1,1,1,Real Bed,$85.00 ,,,$200.00 ,$50.00 ,1,$0.00 ,3,3,3,3,3,3,3,3,7 weeks ago,48,3,0,4/7/14,5/17/18,100,9,10,10,10,9,10,f,f,f,moderate,t,f,2,0.04
2060129,Cozy Hideaway In Secluded Courtyard Modern Kitchen,10292686,11/27/13,"Washington, District of Columbia, United States",within an hour,97%,t,Capitol Hill,30,30,t,t,20002,38.89007,-77.00247,t,Townhouse,Entire home/apt,4,1,1,2,Real Bed,$185.00 ,"$1,250.00 ","$5,250.00 ",$0.00 ,$110.00 ,3,$45.00 ,30,500,14,30,360,500,21,439.4,3 weeks ago,353,10,3,10/8/15,5/27/19,96,10,9,10,10,10,10,f,f,f,strict_14_with_grace_period,f,f,21,0.19
