id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
36029068,"Yours Truly DC, Junior Suite",268577141,6/14/19,"Washington, District of Columbia, United States",within an hour,79%,f,Downtown/Penn Quarter,3,3,t,t,,38.90391,-77.04805,Room in hotel,Private room,2,,1 private bath,1,2,$343.00 ,1,99,1,1,2147483647,2147483647,1,2147483647,,360,0,0,0,,,,,,,,,,t,8,
36030026,Prime Location- Welcoming English-Basement Apt,6642905,5/29/13,"Washington, District of Columbia, United States",N/A,N/A,t,Southwest Waterfront,1,1,t,f,"Washington, District of Columbia, United States",38.88117,-77.01867,Entire apartment,Entire home/apt,4,,1 bath,1,2,$140.00 ,2,1125,2,2,1125,1125,2,1125,,0,40,26,0,7/15/19,3/13/20,98,10,10,10,10,10,10,t,1,2.76
36037856,Modern Green Home in the best walking neighborhood,271120083,6/24/19,"Washington, District of Columbia, United States",within an hour,100%,t,U Street Corridor,1,1,t,t,"Washington, District of Columbia, United States",38.9154,-77.0285,Entire apartment,Entire home/apt,4,,2 baths,2,2,$213.00 ,2,1125,1,2,1125,1125,2,1125,,280,50,34,6,7/3/19,9/18/20,100,10,10,10,10,10,10,t,1,3.36
36038579,Capitol Hill Private Basement Studio,48162408,11/4/15,"Washington, District of Columbia, United States",a few days or more,0%,f,Near Northeast/H Street Corridor,2,2,t,t,"Washington, District of Columbia, United States",38.90284,-76.99918,Entire guest suite,Entire home/apt,3,,1 bath,,1,$72.00 ,1,1125,1,1,1125,1125,1,1125,,109,11,8,0,7/28/19,3/2/20,91,10,8,10,9,10,9,t,1,0.78
36063519,"Stylish, Modern English Basement near H Street",49034894,11/14/15,"Washington, District of Columbia, United States",within an hour,82%,t,Trinidad,1,1,t,t,"Washington, District of Columbia, United States",38.90693,-76.98933,Entire apartment,Entire home/apt,2,,1 bath,1,1,$86.00 ,28,1125,1,28,1125,1125,11.5,1125,,0,40,32,1,8/12/19,8/30/20,96,10,10,10,10,9,9,f,1,2.95
36063723,"Cozy, Small Studio in the heart of Downtown, D.C.",271297871,6/25/19,"Washington, District of Columbia, United States",N/A,N/A,f,Northwest Washington,1,1,t,f,"Washington, District of Columbia, United States",38.90552,-77.02853,Entire apartment,Entire home/apt,2,,1 bath,,1,$85.00 ,1,15,1,1,15,15,1,15,,0,29,13,0,7/2/19,11/15/19,87,10,9,10,9,10,9,t,1,1.94
36067662,Private Spacious 1 BD Apartment in Takoma Park DC!,86073125,7/26/16,US,N/A,N/A,f,Takoma,1,1,t,f,"Washington, District of Columbia, United States",38.97229,-77.02541,Entire guest suite,Entire home/apt,5,,1 bath,1,2,$80.00 ,1,1125,1,1,1125,1125,1,1125,,0,5,4,0,8/11/19,11/17/19,92,10,10,10,9,10,10,t,1,0.37
36067974,Private room w/ en-suite bathroom in modern house,60747811,2/28/16,"Washington, District of Columbia, United States",N/A,N/A,f,Bloomingdale,1,1,t,t,"Washington, District of Columbia, United States",38.9202,-77.01292,Private room in condominium,Private room,2,,1 private bath,1,1,$85.00 ,1,1125,1,1,1125,1125,1,1125,,0,2,0,0,6/26/19,7/1/19,80,10,10,10,10,10,10,t,1,0.13
36076422,Convenient Place near H St Corridor and Chinatown,44971685,9/24/15,"Washington, District of Columbia, United States",N/A,N/A,f,,1,1,t,t,,38.90022,-77.01078,Entire apartment,Entire home/apt,3,,1 bath,1,2,$90.00 ,3,22,3,3,22,22,3,22,,0,5,1,0,7/21/19,11/13/19,100,10,10,10,10,10,10,f,1,0.35
36077364,Beautiful Master Suite in H St Cooridor!,31940527,4/25/15,"Alexandria, Virginia, United States",N/A,N/A,f,Near Northeast/H Street Corridor,1,1,t,t,,38.8995,-76.98452,Private room in condominium,Private room,2,,1 shared bath,1,1,$129.00 ,2,1125,2,2,1125,1125,2,1125,,0,0,0,0,,,,,,,,,,t,1,
36092711,Downtown Townhouse!  Roof-garden & Convention Cr,264990197,5/29/19,"Washington, District of Columbia, United States",within an hour,100%,f,Mount Vernon Square,5,5,t,t,"Washington, District of Columbia, United States",38.90499,-77.01917,Entire house,Entire home/apt,12,,2.5 baths,4,4,$646.00 ,3,1125,3,3,1125,1125,3,1125,,24,9,6,0,7/28/19,12/18/19,100,10,10,10,10,10,10,f,4,0.64
36094756,| 1br/1ba | Great Location!,196595812,6/19/18,"Washington, District of Columbia, United States",within a day,53%,f,Mount Vernon Square,4,4,t,t,"Washington, District of Columbia, United States",38.90021,-77.01526,Entire apartment,Entire home/apt,4,,1 bath,1,1,$81.00 ,2,1125,2,2,1125,1125,2,1125,,68,0,0,0,,,,,,,,,,f,3,
36099123,Large & Lovely! Downtown w/ Parking Convention Cnt,264990197,5/29/19,"Washington, District of Columbia, United States",within an hour,100%,f,Mount Vernon Square,5,5,t,t,"Washington, District of Columbia, United States",38.90499,-77.01917,Entire apartment,Entire home/apt,4,,1 bath,1,1,$225.00 ,3,59,3,3,1125,1125,3,1125,,323,16,9,0,7/19/19,6/16/20,96,10,9,10,10,10,10,t,4,1.11
36099283,4TH OF JULY 2020 INAUGURAL DOWNTOWN WASHINGTON DC,246234565,3/1/19,US,N/A,N/A,f,West End,1,1,t,f,"Washington, District of Columbia, United States",38.90661,-77.0498,Entire condominium,Entire home/apt,6,,2 baths,2,3,$600.00 ,7,7,7,7,7,7,7,7,,365,0,0,0,,,,,,,,,,t,1,
36099602,Upscale Studio in Mt. Vernon w/ Gym + Pool,48005494,11/2/15,"San Francisco, California, United States",within a few hours,100%,t,Potrero Hill,1636,1636,t,t,,38.90165,-77.01746,Entire serviced apartment,Entire home/apt,2,,1 bath,,0,$120.00 ,30,1125,30,30,1125,1125,30,1125,,151,0,0,0,,,,,,,,,,t,232,
