id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
13744,"Heart of the City -HalfBlock to METRO, Restaurants",53927,11/13/09,"Washington, District of Columbia, United States",within a few hours,100%,f,Columbia Heights,1,1,t,t,"Washington, District of Columbia, United States",38.92836,-77.03136,Entire apartment,Entire home/apt,4,,1 bath,1,2,$100.00 ,30,90,30,30,1125,1125,30,1125,,272,25,3,0,4/11/10,2/16/20,98,10,10,10,10,10,10,f,1,0.2
13824,Natural Setting in DC,54317,11/14/09,"Washington, District of Columbia, United States",within an hour,100%,t,16th Street Heights,1,1,t,t,"Washington, District of Columbia, United States",38.95845,-77.03764,Entire guest suite,Entire home/apt,4,,1 bath,,2,$80.00 ,2,60,2,2,60,60,2,60,,289,167,6,0,12/7/09,2/8/20,98,10,10,10,10,10,10,f,1,1.28
14218,Quiet Comfort near Nat'l Cathedral,32015,8/16/09,"Washington D.C., District of Columbia, United States",within an hour,100%,f,Cathedral Heights,4,4,t,t,,38.927,-77.07645,Private room in house,Private room,2,,1.5 shared baths,1,1,$69.00 ,1,365,1,1,365,365,1,365,,0,100,4,1,5/19/15,8/20/20,94,10,9,10,10,10,10,t,4,1.55
16684,Capitol Hill Guest Suite,64814,12/21/09,"Washington, District of Columbia, United States",within an hour,100%,t,Near Northeast/H Street Corridor,2,2,t,t,"Washington, District of Columbia, United States",38.89866,-77.00179,Entire guest suite,Entire home/apt,2,,1 bath,1,1,$80.00 ,60,365,60,60,1125,1125,60,1125,,318,170,1,0,1/18/10,12/19/19,98,10,10,10,10,10,10,f,2,1.32
17131,The Loft near National Cathedral,32015,8/16/09,"Washington D.C., District of Columbia, United States",within an hour,100%,f,Cathedral Heights,4,4,t,t,,38.92708,-77.0768,Private room in house,Private room,2,,1.5 shared baths,1,1,$69.00 ,1,365,1,1,365,365,1,365,,365,82,1,0,3/24/10,4/13/20,93,9,9,10,10,10,10,t,4,0.64
20067,Embassy Row /Glover Park,75938,1/31/10,"Washington, District of Columbia, United States",within a few hours,100%,t,Glover Park,1,1,t,f,"Washington, District of Columbia, United States",38.92466,-77.06834,Private room in house,Private room,2,,1 private bath,1,1,$51.00 ,3,31,3,3,31,31,3,31,,79,119,17,0,4/11/10,7/13/20,95,10,10,10,10,10,10,f,1,0.94
22453,Elegant Logan Circle Loft Share,32067,8/17/09,"Washington D.C., District of Columbia, United States",within a day,89%,f,Logan Circle,4,4,t,t,"Washington, District of Columbia, United States",38.90933,-77.03484,Shared room in loft,Shared room,1,,1 shared bath,1,1,$90.00 ,2,4,2,2,4,4,2,4,,88,97,10,0,3/25/10,3/10/20,96,10,10,10,10,10,10,f,2,0.76
25243,The Smithsonian Vacation House,104340,4/6/10,"Washington, District of Columbia, United States",within an hour,100%,f,Southwest Waterfront,2,2,t,t,"Washington, D.C., District of Columbia, United States",38.88107,-77.01891,Entire townhouse,Entire home/apt,8,,2.5 baths,3,5,$379.00 ,1,90,1,1,90,90,1,90,,361,24,3,0,12/29/14,2/16/20,95,10,9,9,10,10,9,t,2,0.35
26147,Beautiful Cozy Full  Bed Room,5782,12/30/08,"Washington D.C., District of Columbia, United States",N/A,N/A,t,16th Street Heights,1,1,t,f,"Washington, District of Columbia, United States",38.95313,-77.03583,Private room in house,Private room,1,,1.5 shared baths,1,1,$41.00 ,28,365,28,28,365,365,28,365,,365,9,0,0,5/2/10,8/20/18,90,9,9,10,9,9,9,t,1,0.07
27281,Capitol Hill H Street 1BR Apt :),117099,5/2/10,"Gaziantep, Gaziantep, Turkey",N/A,N/A,t,Near Northeast,1,1,t,t,"Washington, District of Columbia, United States",38.90254,-76.99257,Entire apartment,Entire home/apt,4,,1 bath,1,3,$645.00 ,3,35,3,3,35,35,3,35,,364,15,0,0,6/11/10,7/14/16,95,9,9,10,10,10,10,f,1,0.12
32087,American Guest House - Room 301,138459,6/4/10,"Washington, District of Columbia, United States",N/A,N/A,t,Kalorama,12,12,t,t,"Washington, District of Columbia, United States",38.91766,-77.04598,Private room in bed and breakfast,Private room,2,,1 private bath,1,1,$259.00 ,1,365,1,1,365,365,1,365,,362,15,2,0,9/25/11,3/4/20,97,10,10,10,10,10,10,t,12,0.14
32584,Downtown DC Private Carriage House,29711,8/4/09,"Washington, District of Columbia, United States",within an hour,100%,f,Shaw,4,4,t,t,"Washington, District of Columbia, United States",38.91139,-77.0208,Barn,Entire home/apt,4,,1 bath,1,2,$99.00 ,2,1125,2,2,1125,1125,2,1125,,0,598,21,2,6/17/10,8/10/20,95,10,9,10,10,10,9,t,2,4.81
54112,"Luxury DC Apt. Downtown, Logan Circle, 14th Street",253258,10/4/10,"Washington D.C., District of Columbia, United States",within a day,100%,t,Logan Circle,1,1,t,f,"Washington, District of Columbia, United States",38.91168,-77.03501,Entire apartment,Entire home/apt,2,,,1,1,$195.00 ,3,365,3,3,365,365,3,365,,361,154,8,0,11/1/10,3/14/20,97,10,10,10,10,10,10,f,1,1.29
65024,"Nice looking large room on Rhodeisland avenue, nw",315148,12/10/10,"Washington, District of Columbia, United States",within an hour,96%,f,Bloomingdale,47,47,t,f,,38.9165,-77.01028,Private room in apartment,Private room,1,,1 shared bath,1,1,$35.00 ,28,730,28,28,730,730,28,730,,365,8,3,0,3/26/17,6/30/20,98,10,9,10,10,10,9,f,27,0.19
67483,Charming B & B in Columbia Heights,332901,1/2/11,"Washington, District of Columbia, United States",within a day,100%,t,Columbia Heights,1,1,t,t,"Washington, District of Columbia, United States",38.93375,-77.02924,Entire guest suite,Entire home/apt,3,,1 bath,1,1,$99.00 ,6,730,6,6,730,730,6,730,,363,155,1,0,2/6/11,12/15/19,90,9,9,10,10,10,9,t,1,1.33
72454,Modern Charm,100727,3/29/10,"Washington, District of Columbia, United States",within an hour,96%,f,Petworth,2,2,t,t,"Washington, District of Columbia, United States",38.94684,-77.02294,Entire townhouse,Entire home/apt,16,,3.5 baths,4,6,$133.00 ,4,90,2,5,1125,1125,3,1125,,354,165,28,1,3/3/11,8/9/20,87,9,9,9,9,10,9,t,3,1.43
78264,Room for 2 with private bathroom,420345,3/3/11,"Washington, District of Columbia, United States",within a few hours,100%,f,Eckington,1,1,t,t,"Washington, District of Columbia, United States",38.91573,-77.00721,Private room in house,Private room,4,,1.5 shared baths,1,1,$66.00 ,1,30,1,1,30,30,1,30,,351,35,3,0,8/31/12,9/28/19,94,9,9,10,10,9,9,f,1,0.36
79866,"DC, Near Metro III",7086,1/26/09,"Washington D.C., District of Columbia, United States",within an hour,100%,t,Ivy City,5,5,t,t,,38.90476,-76.98492,Private room in house,Private room,1,,,1,1,$99.00 ,2,730,2,2,730,730,2,730,,60,10,0,0,4/5/11,8/27/16,98,9,10,10,9,8,9,f,3,0.09
79867,"DC, Near Metro II",7086,1/26/09,"Washington D.C., District of Columbia, United States",within an hour,100%,t,Ivy City,5,5,t,t,,38.90467,-76.98627,Private room in house,Private room,1,,,1,1,$99.00 ,2,730,2,2,730,730,2,730,,60,10,0,0,11/18/11,9/30/16,98,10,10,10,10,8,9,f,3,0.09
93551,Upscale Master Close to Everything,481929,4/3/11,"Washington D.C., District of Columbia, United States",within a day,100%,t,Shaw,4,4,t,t,"Washington, District of Columbia, United States",38.91235,-77.01873,Private room in townhouse,Private room,2,,1.5 baths,1,1,$80.00 ,3,365,3,3,365,365,3,365,,365,101,2,0,4/19/11,9/25/19,95,10,9,10,10,10,10,f,4,0.89
107801,Heart of D.C. near Union Station!!,445901,3/16/11,"Washington D.C., District of Columbia, United States",N/A,N/A,f,Kingman Park,1,1,t,t,"Washington, District of Columbia, United States",38.89768,-76.97113,Entire house,Entire home/apt,8,,1 bath,2,5,$140.00 ,2,30,2,2,1125,1125,2,1125,,56,13,0,0,10/19/14,8/9/17,94,10,10,10,10,8,9,t,1,0.18
116951,Upscale Private Close to Everything,481929,4/3/11,"Washington D.C., District of Columbia, United States",within a day,100%,t,Shaw,4,4,t,t,"Washington, District of Columbia, United States",38.91703,-77.01672,Private room in townhouse,Private room,2,,1.5 baths,1,1,$67.00 ,10,730,10,10,730,730,10,730,,365,80,11,0,10/29/17,11/6/19,95,10,9,10,10,10,10,f,4,2.31
124030,Modern Townhouse with Large Backyard!,614408,5/22/11,"Washington D.C., District of Columbia, United States",within a day,100%,f,Shaw,1,1,t,t,"Washington, District of Columbia, United States",38.91409,-77.02484,Entire condominium,Entire home/apt,4,,2 baths,2,1,$150.00 ,2,30,2,2,30,30,2,30,,0,7,0,0,7/16/14,4/8/19,100,10,10,10,10,10,10,f,1,0.09
136400,"Sunny Happy Home, Walk to Metro",667695,6/5/11,"Washington D.C., District of Columbia, United States",within a day,67%,t,American University Park,2,2,t,t,,38.95126,-77.08569,Entire house,Entire home/apt,4,,2.5 baths,3,3,$188.00 ,3,14,3,3,14,14,3,14,,242,9,1,0,6/17/12,12/29/19,98,10,10,10,10,10,10,f,1,0.09
145726,Luraloft / Entire Apt,705346,6/15/11,"Washington, District of Columbia, United States",within a day,100%,t,Petworth,1,1,t,t,,38.94934,-77.02295,Entire guest suite,Entire home/apt,2,,1 bath,,1,$80.00 ,5,31,5,5,31,31,5,31,,1,104,6,0,6/23/11,3/19/20,97,10,10,10,10,9,10,f,1,0.93
150109,Great apartment in perfect location,723470,6/20/11,"Washington, District of Columbia, United States",N/A,N/A,f,U Street Corridor,1,1,t,t,"Washington, District of Columbia, United States",38.915,-77.03853,Entire apartment,Entire home/apt,2,,1 bath,1,1,$135.00 ,3,365,3,3,365,365,3,365,,241,29,1,0,11/4/11,10/13/19,97,10,9,10,10,10,9,f,1,0.27
153545,Guest Room 3 miles to the White House,738459,6/24/11,"Washington D.C., District of Columbia, United States",within an hour,100%,t,Crestwood,5,5,t,t,"Washington, District of Columbia, United States",38.94437,-77.04345,Private room in house,Private room,1,,1 shared bath,1,1,$48.00 ,30,1120,30,30,1120,1120,30,1120,,365,35,0,0,9/15/11,12/20/16,93,9,9,10,10,9,9,f,5,0.32
155859,"~Guest Room, Breakfast, Coffee, Cava & Herb Garden",745305,6/26/11,"Washington D.C., District of Columbia, United States",N/A,N/A,f,Brightwood,1,1,t,t,"Washington, District of Columbia, United States",38.96648,-77.03228,Private room in house,Private room,2,,1 private bath,1,1,$64.00 ,3,21,2,3,1125,1125,2.9,1125,,127,130,4,0,7/25/11,10/28/19,97,10,10,10,10,9,10,t,1,1.17
160148,"Dupont room; TemPurpedic bed, 3 min 2 metro",767543,7/1/11,"Washington, District of Columbia, United States",a few days or more,0%,f,Dupont Circle,5,5,t,t,"Dupont Circle, Washington, District of Columbia, United States",38.91297,-77.0465,Private room in house,Private room,2,,1 shared bath,1,1,$309.00 ,30,1125,30,30,1125,1125,30,1125,,365,2,0,0,1/23/12,5/20/15,100,9,9,10,9,9,9,f,4,0.02
161913,X-tra large suite;3 min Wlk 2 Metro,767543,7/1/11,"Washington, District of Columbia, United States",a few days or more,0%,f,Dupont Circle,5,5,t,t,"Dupont Circle, Washington, District of Columbia, United States",38.91296,-77.04639,Private room in townhouse,Private room,1,,1 shared bath,1,1,$99.00 ,30,1125,30,30,1125,1125,30,1125,,0,10,0,0,3/22/18,7/12/19,92,9,10,9,10,8,8,f,4,0.34
164069,Historic Rowhouse Near Monuments 2,5059,12/12/08,"Washington, District of Columbia, United States",within a few hours,100%,f,Eckington,0,0,t,t,"Washington, District of Columbia, United States",38.91374,-77.00861,Private room in house,Private room,2,,1.5 shared baths,1,1,$80.00 ,27,1125,27,27,1125,1125,27,1125,,123,195,0,0,7/12/11,8/20/17,97,10,10,10,10,9,9,f,2,1.75
174808,Historic American Four Square,835242,7/18/11,"Washington, District of Columbia, United States",within an hour,100%,t,Anacostia,3,3,t,f,,38.86427,-76.98934,Private room in house,Private room,2,,1 bath,1,1,$75.00 ,2,1125,2,2,1125,1125,2,1125,,0,38,2,0,4/11/16,11/24/19,98,10,10,10,10,9,10,f,3,0.71
178395,"Spare Room for Washington,DC Visit or entire house",852801,7/22/11,"Washington D.C., District of Columbia, United States",a few days or more,0%,f,Manor Park,2,2,t,t,"Washington, District of Columbia, United States",38.96234,-77.01735,Private room in house,Private room,1,,1.5 shared baths,1,4,$399.00 ,1,730,1,1,730,730,1,730,,365,0,0,0,,,,,,,,,,f,2,
184144,"Dupont Circle, Stunning Apt",883385,7/28/11,"Washington, District of Columbia, United States",N/A,N/A,f,Dupont Circle,1,1,t,t,,38.91314,-77.04431,Entire apartment,Entire home/apt,1,,1 bath,1,0,$100.00 ,120,360,120,120,360,360,120,360,,358,7,0,0,8/1/11,3/17/16,95,10,9,10,10,10,10,f,1,0.06
195344,New Luxury Downtown Private Apt.,949856,8/10/11,"Washington D.C., District of Columbia, United States",within an hour,100%,f,Mount Vernon Square,1,1,t,f,"Washington, District of Columbia, United States",38.90123,-77.01752,Entire condominium,Entire home/apt,4,,1.5 baths,1,2,$149.00 ,2,730,2,2,1125,1125,2,1125,,335,387,20,0,8/28/11,3/13/20,94,9,8,9,10,10,9,f,1,3.53
196429,"Takoma Garden apt-Lush yard,pets ok",956417,8/11/11,"Washington, District of Columbia, United States",within a few hours,100%,f,Takoma,1,1,t,t,"Washington, District of Columbia, United States",38.96995,-77.01984,Entire guest suite,Entire home/apt,3,,1 bath,,2,$125.00 ,2,1825,2,2,1825,1825,2,1825,,334,5,1,0,4/23/13,10/25/19,80,9,7,10,10,9,8,f,1,0.06
201116,Victorian Haven - Private Basement!,983611,8/17/11,"Washington, District of Columbia, United States",within an hour,100%,f,Takoma,1,1,t,t,,38.97291,-77.02063,Entire apartment,Entire home/apt,2,,1 bath,1,2,$90.00 ,1,730,1,1,730,730,1,730,,336,170,21,1,9/16/11,8/9/20,89,9,9,9,10,10,9,f,1,1.56
205809,Modern home NW DC steps from bus,1012315,8/23/11,"Washington, District of Columbia, United States",a few days or more,33%,f,Manor Park,1,1,t,t,"Washington, District of Columbia, United States",38.9581,-77.02271,Entire townhouse,Entire home/apt,6,,3 baths,3,2,$199.00 ,4,60,4,4,60,60,4,60,,362,13,0,0,9/11/11,6/11/19,97,10,9,10,10,10,10,f,1,0.12
211986,xtra-large suite in Dupont-- 3 min walk to metro,767543,7/1/11,"Washington, District of Columbia, United States",a few days or more,0%,f,Dupont Circle,5,5,t,t,"Dupont Circle, Washington, District of Columbia, United States",38.91297,-77.0465,Private room in house,Private room,3,,1 private bath,1,2,$269.00 ,30,365,30,30,365,365,30,365,,365,5,0,0,8/9/14,9/4/15,85,9,9,9,10,10,9,f,4,0.07
223203,ROOM FOR RENT IN A NICE AREA OF DC,1159505,9/14/11,"Washington, District of Columbia, United States",within a few hours,100%,f,Colonial Village,4,4,t,f,,38.98853,-77.04441,Private room in house,Private room,2,,1.5 baths,1,1,$70.00 ,2,3365,2,2,3365,3365,2,3365,,365,6,0,0,10/24/11,8/23/19,100,10,10,10,10,10,10,t,4,0.06
223922,Private  Retreat. Apartment in DC,738459,6/24/11,"Washington D.C., District of Columbia, United States",within an hour,100%,t,Crestwood,5,5,t,t,"Washington, District of Columbia, United States",38.94363,-77.04562,Entire house,Entire home/apt,4,,1.5 baths,1,2,$109.00 ,1,1125,1,1,1125,1125,1,1125,,348,119,9,0,9/25/11,12/1/19,93,9,9,10,10,9,9,t,5,1.09
246413,Cozy Capitol Hill home near metro,814151,7/13/11,"Washington D.C., District of Columbia, United States",within an hour,100%,t,Barney Circle,2,2,t,t,"Washington, District of Columbia, United States",38.88535,-76.98183,Entire townhouse,Entire home/apt,3,,1 bath,1,1,$99.00 ,2,14,2,3,1125,1125,2.1,1125,,207,400,37,0,4/1/12,7/31/20,97,10,9,10,10,10,10,t,1,3.9
251611,LUXURY LIVING AT A BARGAIN,1159505,9/14/11,"Washington, District of Columbia, United States",within a few hours,100%,f,Colonial Village,4,4,t,f,"Washington, District of Columbia, United States",38.98853,-77.04441,Private room in house,Private room,3,,1.5 baths,1,2,$70.00 ,2,3365,2,2,3365,3365,2,3365,,365,1,0,0,3/10/19,3/10/19,100,10,8,10,10,10,10,f,4,0.06
251615,NICE HOUSE IN A VERY NICE NEIGHBORHOOD,1159505,9/14/11,"Washington, District of Columbia, United States",within a few hours,100%,f,Colonial Village,4,4,t,f,"Washington, District of Columbia, United States",38.98853,-77.04441,Private room in house,Private room,2,,1.5 baths,1,1,$70.00 ,2,1825,2,2,1825,1825,2,1825,,365,5,1,0,6/30/18,11/9/19,96,10,10,10,10,10,9,t,4,0.19
251619,LUXURY LIVING AT A BARGAIN,1159505,9/14/11,"Washington, District of Columbia, United States",within a few hours,100%,f,Colonial Village,4,4,t,f,"Washington, District of Columbia, United States",38.98853,-77.04441,Private room in house,Private room,2,,1.5 baths,1,1,$70.00 ,2,1000,2,2,1000,1000,2,1000,,365,8,0,0,3/30/13,8/17/19,83,9,8,10,9,9,8,t,4,0.09
252300,"Private Bath, Metro, Capitol@3miles",1323933,10/22/11,"Washington, District of Columbia, United States",within a day,100%,f,Buena Vista,2,2,t,f,,38.8587,-76.98736,Private room in apartment,Private room,2,,1 private bath,1,2,$70.00 ,5,365,5,5,365,365,5,365,,364,8,0,0,9/1/14,5/18/19,90,10,10,9,10,7,9,f,2,0.11
262629,Guest bedroom and private bath.,36646,9/6/09,"Washington, District of Columbia, United States",within a few hours,100%,t,Lamond Riggs,1,1,t,t,"Washington, District of Columbia, United States",38.96703,-77.00426,Private room in house,Private room,1,,1 private bath,1,1,$58.00 ,30,1000,30,30,1000,1000,30,1000,,363,32,2,0,11/11/11,10/22/19,97,9,9,10,10,9,10,f,1,0.3
266852,Private Suite in Capitol Hill Home,1399272,11/12/11,"Washington, District of Columbia, United States",within an hour,100%,t,Capitol Hill,2,2,t,t,"Washington, District of Columbia, United States",38.89661,-76.98703,Private room in guest suite,Private room,2,,1 private bath,1,1,$88.00 ,2,30,2,2,1125,1125,2,1125,,0,711,33,0,11/19/11,3/4/20,96,10,10,10,10,10,10,t,2,6.65
284165,Entire Two Floor Carriage House,783034,7/6/11,"Washington D.C., District of Columbia, United States",within an hour,100%,f,LeDroit Park,4,4,t,t,"Washington, District of Columbia, United States",38.91571,-77.0177,Entire apartment,Entire home/apt,4,,1 bath,1,2,$99.00 ,3,180,3,10,180,180,4.7,180,,0,70,4,1,4/17/13,8/28/20,93,10,9,10,10,9,9,f,2,0.78
286083,Boutique penthouse near everything,62739,12/13/09,"Washington, District of Columbia, United States",within a day,60%,f,Mount Pleasant,1,1,t,t,"Washington, District of Columbia, United States",38.93107,-77.03885,Entire loft,Entire home/apt,6,,1 bath,1,1,$175.00 ,1,1125,1,1,1125,1125,1,1125,,364,69,6,0,2/26/12,3/14/20,94,9,9,10,10,10,9,f,1,0.67
290001,Cozy Rowhouse Near Logan Circle,1505235,12/14/11,"Washington, District of Columbia, United States",within a few hours,100%,t,Logan Circle,1,1,t,t,"Washington, District of Columbia, United States",38.90968,-77.02747,Entire townhouse,Entire home/apt,2,,1 bath,1,1,$168.00 ,2,14,2,2,14,14,2,14,,169,133,6,0,3/17/12,7/14/20,96,10,10,10,10,10,10,f,1,1.29
296196,Charming Dupont English Basement,1528235,12/22/11,"Washington, District of Columbia, United States",within a few hours,100%,t,U Street Corridor,1,1,t,f,,38.91452,-77.03554,Entire apartment,Entire home/apt,4,,1 bath,1,1,$149.00 ,3,1125,3,3,1125,1125,3,1125,,2,59,8,0,2/22/12,2/16/20,99,10,10,10,10,10,10,t,1,0.57
298337,Lovely One Bedrm w/Old World Charm,743745,6/25/11,"Washington, District of Columbia, United States",within a day,100%,f,Palisades,2,2,t,t,"Washington, District of Columbia, United States",38.92435,-77.10082,Entire apartment,Entire home/apt,2,,1 bath,1,1,$100.00 ,3,14,3,3,14,14,3,14,,358,0,0,0,,,,,,,,,,t,2,
299030,Red Room - Washington 1-2/p Bedroom near Metro,1541062,12/27/11,"Washington, District of Columbia, United States",within a few hours,100%,f,Shepherd Park,2,2,t,f,,38.98123,-77.02885,Private room in house,Private room,2,,1.5 baths,1,1,$85.00 ,1,90,1,1,90,90,1,90,,275,19,0,0,5/9/12,6/30/19,97,10,10,10,10,9,10,f,2,0.19
305783,Hb baño privado 3mi Capitol y metro,1323933,10/22/11,"Washington, District of Columbia, United States",within a day,100%,f,Buena Vista,2,2,t,f,,38.85618,-76.98689,Private room in apartment,Private room,2,,1 private bath,1,2,$70.00 ,5,365,5,5,365,365,5,365,,365,2,0,0,8/1/13,8/25/18,80,10,10,10,10,7,8,f,2,0.02
306465,Dupont Apt w/character;3-min walk metro!,767543,7/1/11,"Washington, District of Columbia, United States",a few days or more,0%,f,Dupont Circle,5,5,t,t,"Dupont Circle, Washington, District of Columbia, United States",38.91297,-77.0465,Entire apartment,Entire home/apt,4,,1 bath,1,3,$325.00 ,30,365,30,30,365,365,30,365,,365,15,0,0,3/14/12,4/6/19,94,9,10,9,10,10,9,f,4,0.15
313405,Blue Room - Washington 1-2p Bedroom Near Metro,1541062,12/27/11,"Washington, District of Columbia, United States",within a few hours,100%,f,Shepherd Park,2,2,t,f,,38.98052,-77.02992,Private room in house,Private room,3,,,1,1,$80.00 ,1,90,1,1,90,90,1,90,,275,7,0,0,4/22/12,7/2/19,87,9,9,10,10,8,9,f,2,0.07
315140,Penn Quarter Studio Apartment,1618591,1/17/12,"Washington, District of Columbia, United States",within an hour,100%,t,Chinatown,2,2,t,t,"Washington, District of Columbia, United States",38.89815,-77.02241,Entire condominium,Entire home/apt,2,,1 bath,1,1,$149.00 ,100,365,100,100,1125,1125,100,1125,,358,14,0,0,4/25/12,7/30/19,98,10,10,10,10,10,9,t,2,0.14
316270,"1BR Apt, full kitchen, steps2metro",1624394,1/18/12,"Washington, District of Columbia, United States",within a day,70%,t,Petworth,2,2,t,t,"Washington, District of Columbia, United States",38.93807,-77.01982,Entire apartment,Entire home/apt,6,,1 bath,1,3,$95.00 ,3,330,3,3,330,330,3,330,,180,200,8,1,3/24/12,8/3/20,95,10,9,10,10,10,9,f,3,1.95
322610,Capitol Hill - Union Station,1651634,1/25/12,US,within a few hours,100%,f,Near Northeast,2,2,t,f,,38.89994,-77.00106,Entire apartment,Entire home/apt,4,,2 baths,2,2,$125.00 ,5,1125,5,5,1125,1125,5,1125,,365,0,0,0,,,,,,,,,,t,2,
322611,"Capitol Hill, Union Station-huge",1651634,1/25/12,US,within a few hours,100%,f,Near Northeast,2,2,t,f,,38.90065,-77.00129,Entire apartment,Entire home/apt,3,,2 baths,2,2,$129.00 ,30,240,30,30,240,240,30,240,,364,1,1,0,9/20/19,9/20/19,,,,,,,,t,2,0.09
